Id_vente;montant;date;Id_bien_immobilier
234;192000;2020-01-03 00:00:00;234
235;43000;2020-01-03 00:00:00;235
236;572000;2020-01-03 00:00:00;236
237;440425;2020-01-03 00:00:00;237
238;410370;2020-01-03 00:00:00;238
239;130000;2020-01-03 00:00:00;239
240;218000;2020-01-03 00:00:00;240
241;378850;2020-01-03 00:00:00;241
242;134000;2020-01-03 00:00:00;242
243;269000;2020-01-03 00:00:00;243
244;145000;2020-01-03 00:00:00;244
245;331000;2020-01-03 00:00:00;245
246;374675;2020-01-03 00:00:00;246
247;209000;2020-01-03 00:00:00;247
248;163000;2020-01-03 00:00:00;248
249;240000;2020-01-03 00:00:00;249
250;159000;2020-01-03 00:00:00;250
251;174000;2020-01-03 00:00:00;251
252;195600;2020-01-03 00:00:00;252
253;224500;2020-01-03 00:00:00;253
254;852000;2020-01-03 00:00:00;254
255;497270;2020-01-03 00:00:00;255
256;278500;2020-01-03 00:00:00;256
257;1469500;2020-01-03 00:00:00;257
258;270000;2020-01-03 00:00:00;258
259;434000;2020-01-03 00:00:00;259
260;512000;2020-01-03 00:00:00;260
261;352000;2020-01-03 00:00:00;261
262;246150;2020-01-03 00:00:00;262
263;573721;2020-01-03 00:00:00;263
264;917350;2020-01-03 00:00:00;264
265;625500;2020-01-03 00:00:00;265
266;673315;2020-01-03 00:00:00;266
267;502700;2020-01-03 00:00:00;267
268;276000;2020-01-03 00:00:00;268
269;707350;2020-01-03 00:00:00;269
270;638000;2020-01-03 00:00:00;270
271;461200;2020-01-03 00:00:00;271
272;196500;2020-01-03 00:00:00;272
273;335000;2020-01-03 00:00:00;273
274;445000;2020-01-03 00:00:00;274
275;84000;2020-01-04 00:00:00;275
276;76100;2020-01-04 00:00:00;276
277;67750;2020-01-04 00:00:00;277
278;75200;2020-01-04 00:00:00;278
279;176000;2020-01-04 00:00:00;279
280;123000;2020-01-04 00:00:00;280
281;87900;2020-01-04 00:00:00;281
282;57200;2020-01-04 00:00:00;282
283;74000;2020-01-04 00:00:00;283
284;429250;2020-01-06 00:00:00;284
285;285000;2020-01-06 00:00:00;285
286;196000;2020-01-06 00:00:00;286
287;212200;2020-01-06 00:00:00;287
288;643815;2020-01-06 00:00:00;288
289;335000;2020-01-06 00:00:00;289
290;81000;2020-01-06 00:00:00;290
291;170000;2020-01-06 00:00:00;291
292;443000;2020-01-06 00:00:00;292
293;128600;2020-01-06 00:00:00;293
294;99500;2020-01-06 00:00:00;294
295;113200;2020-01-06 00:00:00;295
296;88000;2020-01-06 00:00:00;296
297;90000;2020-01-06 00:00:00;297
298;68600;2020-01-06 00:00:00;298
299;52000;2020-01-06 00:00:00;299
300;82000;2020-01-06 00:00:00;300
301;265000;2020-01-06 00:00:00;301
302;144000;2020-01-06 00:00:00;302
303;144950;2020-01-06 00:00:00;303
304;237000;2020-01-06 00:00:00;304
305;298000;2020-01-06 00:00:00;305
306;72200;2020-01-06 00:00:00;306
307;318000;2020-01-06 00:00:00;307
308;207500;2020-01-06 00:00:00;308
309;330850;2020-01-06 00:00:00;309
310;91000;2020-01-06 00:00:00;310
311;375000;2020-01-06 00:00:00;311
312;197000;2020-01-06 00:00:00;312
313;104000;2020-01-06 00:00:00;313
314;173000;2020-01-06 00:00:00;314
315;275000;2020-01-06 00:00:00;315
316;160000;2020-01-06 00:00:00;316
317;206300;2020-01-06 00:00:00;317
318;53900;2020-01-06 00:00:00;318
319;110000;2020-01-06 00:00:00;319
320;188900;2020-01-06 00:00:00;320
321;72000;2020-01-06 00:00:00;321
322;150900;2020-01-06 00:00:00;322
323;106000;2020-01-06 00:00:00;323
324;65000;2020-01-06 00:00:00;324
325;149500;2020-01-06 00:00:00;325
326;86000;2020-01-06 00:00:00;326
327;90000;2020-01-06 00:00:00;327
328;137000;2020-01-06 00:00:00;328
329;72000;2020-01-06 00:00:00;329
330;88000;2020-01-06 00:00:00;330
331;46000;2020-01-06 00:00:00;331
332;360000;2020-01-06 00:00:00;332
333;33000;2020-01-06 00:00:00;333
334;122450;2020-01-06 00:00:00;334
335;172950;2020-01-06 00:00:00;335
336;204000;2020-01-06 00:00:00;336
337;153300;2020-01-06 00:00:00;337
338;78000;2020-01-06 00:00:00;338
339;99750;2020-01-06 00:00:00;339
340;71530;2020-01-06 00:00:00;340
341;155000;2020-01-06 00:00:00;341
342;240000;2020-01-06 00:00:00;342
343;97000;2020-01-06 00:00:00;343
344;134000;2020-01-06 00:00:00;344
345;214000;2020-01-06 00:00:00;345
346;162000;2020-01-06 00:00:00;346
347;142200;2020-01-06 00:00:00;347
348;120000;2020-01-06 00:00:00;348
349;75200;2020-01-06 00:00:00;349
350;43000;2020-01-06 00:00:00;350
351;33000;2020-01-06 00:00:00;351
352;31000;2020-01-06 00:00:00;352
353;44950;2020-01-06 00:00:00;353
354;221300;2020-01-06 00:00:00;354
355;138000;2020-01-06 00:00:00;355
356;145000;2020-01-06 00:00:00;356
357;291000;2020-01-06 00:00:00;357
358;47000;2020-01-06 00:00:00;358
359;127900;2020-01-06 00:00:00;359
360;106000;2020-01-06 00:00:00;360
361;87000;2020-01-06 00:00:00;361
362;37000;2020-01-06 00:00:00;362
363;105003;2020-01-06 00:00:00;363
364;85500;2020-01-06 00:00:00;364
365;88000;2020-01-06 00:00:00;365
366;30500;2020-01-06 00:00:00;366
367;52381;2020-01-06 00:00:00;367
368;46000;2020-01-06 00:00:00;368
369;86000;2020-01-06 00:00:00;369
370;120300;2020-01-06 00:00:00;370
371;158500;2020-01-06 00:00:00;371
372;270000;2020-01-06 00:00:00;372
373;130000;2020-01-06 00:00:00;373
374;300000;2020-01-06 00:00:00;374
375;130000;2020-01-06 00:00:00;375
376;202380;2020-01-06 00:00:00;376
377;325000;2020-01-06 00:00:00;377
378;265320;2020-01-06 00:00:00;378
379;99900;2020-01-06 00:00:00;379
380;38200;2020-01-06 00:00:00;380
381;240000;2020-01-06 00:00:00;381
382;169000;2020-01-06 00:00:00;382
383;43000;2020-01-06 00:00:00;383
384;257000;2020-01-06 00:00:00;384
385;175000;2020-01-06 00:00:00;385
386;113000;2020-01-06 00:00:00;386
387;45000;2020-01-06 00:00:00;387
388;145000;2020-01-06 00:00:00;388
389;124000;2020-01-06 00:00:00;389
390;60000;2020-01-06 00:00:00;390
391;185500;2020-01-06 00:00:00;391
392;189000;2020-01-06 00:00:00;392
393;225000;2020-01-06 00:00:00;393
394;740000;2020-01-06 00:00:00;394
395;181500;2020-01-06 00:00:00;395
396;168500;2020-01-06 00:00:00;396
397;102820;2020-01-06 00:00:00;397
398;370050;2020-01-06 00:00:00;398
399;582000;2020-01-06 00:00:00;399
400;128000;2020-01-06 00:00:00;400
401;240750;2020-01-06 00:00:00;401
402;271500;2020-01-06 00:00:00;402
403;54000;2020-01-06 00:00:00;403
404;224900;2020-01-06 00:00:00;404
405;90000;2020-01-06 00:00:00;405
406;235200;2020-01-06 00:00:00;406
