nom_commune,Augmentation_%
MONTATAIRE,100
MONTELIMAR,325
MONTESSON,42.859999999999999
MONTEUX,200
MONTIGNY EN GOHELLE,100
MONTLHERY,75
MONTMAGNY,30
MONTMORENCY,42.859999999999999
MORDELLES,100
MORLAIX,900
MORTEAU,50
MUREAUX (LES),200
NANCY,97.060000000000002
NANDY,33.329999999999998
NARBONNE,132
NEUFCHATEAU,100
NEUILLY-SUR-SEINE,57.450000000000003
NICE,28.399999999999999
NIORT,180
NOGENT-LE-ROI,400
NOGENT-SUR-MARNE,31.43
NOISY LE ROI,33.329999999999998
NOISY-LE-GRAND,80.950000000000003
ORANGE,600
ORCIERES,400
ORGEVAL,66.670000000000002
ORVAULT,33.329999999999998
OULLINS,220
PAILLET,100
PAIMBOEUF,100
PAIMPOL,50
PALAVAS-LES-FLOTS,50
PARAY LE MONIAL,100
PARIS 01,36.359999999999999
PARIS 08,20.969999999999999
PARIS 10,35.780000000000001
PARIS 11,20.960000000000001
PARIS 12,23.640000000000001
PARIS 16,32.93
PARIS 18,44.710000000000001
PARIS 19,26.960000000000001
PARIS 20,31.5
PARTHENAY,100
PAU,2500
PECQ (LE),27.27
PELUSSIN,100
PERENCHIES,300
PERRAY-EN-YVELINES (LE),500
PERROS-GUIREC,80
PERTUIS,200
PETIT QUEVILLY (LE),166.66999999999999
PHALEMPIN,50
PIERRE BENITE,400
PIERRELATTE,300
PITHIVIERS,100
PLERIN,300
PLESSIS-BOUCHARD (LE),100
POISSY,41.18
PONT ST ESPRIT,400
PONTARLIER,150
PONTAULT COMBAULT,66.670000000000002
PONTIVY,66.670000000000002
PONTOISE,20.829999999999998
PORT-LOUIS,50
POUSSAN,100
PRINGY,33.329999999999998
PUGET-SUR-ARGENS,200
PUSSAY,50
QUIBERON,55.560000000000002
QUIMPERLE,100
QUINCIEUX,50
RAISMES,200
RAMBOUILLET,60
REAU,200
REIMS,231.25
RENNES,28.809999999999999
RETHEL,600
REZE,108.33
RISOUL,100
RIVES-EN-SEINE,50
ROANNE,71.430000000000007
ROCHE SUR YON (LA),46.670000000000002
ROCHEFORT,100
ROMANS-SUR-ISERE,63.640000000000001
ROMORANTIN-LANTHENAY,200
RONCHIN,800
ROSNY-SOUS-BOIS,52.380000000000003
ROUBAIX,83.329999999999998
ROUEN,772.73000000000002
ROUFFIAC TOLOSAN,100
RUELLE-SUR-TOUVRE,200
RUPT-SUR-MOSELLE,100
SAIN-BEL,100
SAINT BREVIN LES PINS,125
SAINT CYR AU MONT D OR,100
SAINT CYR SUR LOIRE,400
SAINT DIE DES VOSGES,233.33000000000001
SAINT LAURENT MEDOC,200
SAINT MAX,83.329999999999998
SAINT MEDARD EN JALLES,75
SAINT THIBAULT DES VIGNES,33.329999999999998
SAINT-ANDRE-DE-CUBZAC,350
SAINT-ANDRE-DES-EAUX,100
SAINT-BRICE-SOUS-FORET,33.329999999999998
SAINT-BRIEUC,133.33000000000001
SAINT-DENIS,38.240000000000002
SAINT-EGREVE,133.33000000000001
SAINT-ETIENNE-DU-ROUVRAY,33.329999999999998
SAINT-GENIS-LAVAL,25
SAINT-GILLES-CROIX-DE-VIE,20
SAINT-JEAN-LE-BLANC,150
SAINT-LARY-SOULAN,150
SAINT-MALO,29.030000000000001
SAINT-MANDE,32.140000000000001
SAINT-MARTIN-DE-BROMES,100
SAINT-MARTIN-LE-VINOUX,300
SAINT-MARTIN-VESUBIE,200
SAINT-MEMMIE,100
SAINT-MICHEL-SUR-ORGE,46.149999999999999
SAINT-NAZAIRE,50
SAINT-NOM-LA-BRETECHE,100
SAINT-PATHUS,100
SAINT-PAUL-TROIS-CHATEAUX,100
SAINT-PHILIBERT,100
SAINT-PIERRE-DES-CORPS,100
SAINT-PRIEST,66.670000000000002
SAINT-PRIX,50
SAINT-PRYVE-SAINT-MESMIN,100
SAINT-QUAY-PORTRIEUX,200
SAINTE FOY LES LYON,20
SAINTE LUCE,200
SAINTE MAXIME,125
SAINTE PAZANNE,100
SAINTE-GENEVIEVE-DES-BOIS,42.859999999999999
SAINTE-LUCE-SUR-LOIRE,150
SANNOIS,66.670000000000002
SARAN,100
SARRIANS,200
SASSENAGE,33.329999999999998
SATHONAY-CAMP,50
SAULX-LES-CHARTREUX,100
SAUMUR,66.670000000000002
SAVIGNY-LE-TEMPLE,33.329999999999998
SECLIN,100
SEDAN,50
SENS,200
SERIGNAN,200
SOUSTONS,25
ST FONS,266.67000000000002
ST GRATIEN,55.560000000000002
ST ORENS DE GAMEVILLE,200
ST SEBASTIEN SUR LOIRE,42.859999999999999
ST-HERBLAIN,90.480000000000004
TANINGES,250
TARARE,75
TASSIN-LA-DEMI-LUNE,35.710000000000001
THIAIS,126.67
THYEZ,100
TIGERY,200
TINQUEUX,166.66999999999999
TOUL,200
TOURCOING,90
TOURNEFEUILLE,100
TOURS,47.060000000000002
TRANCHE-SUR-MER (LA),42.859999999999999
TREILLIERES,200
TRESSES,100
TROIS ILETS,33.329999999999998
TROYES,58.82
TULLINS,50
UZES,85.709999999999994
VAISON-LA-ROMAINE,50
VAL-D ISERE,100
VALENCIENNES,275
VALMEINIER,200
VALRAS-PLAGE,80
VALS-LES-BAINS,33.329999999999998
VANDOEUVRE LES NANCY,57.140000000000001
VAULX EN VELIN,66.670000000000002
VAUX-LE-PENIL,100
VENISSIEUX,125
VERNON,350
VERNOUILLET,33.329999999999998
VERRIERES-EN-ANJOU,100
VETRAZ-MONTHOUX,500
VIAS,100
VILLARD-BONNOT,150
VILLEFRANCHE,70.370000000000005
VILLEMOMBLE,26.670000000000002
VILLENEUVE SUR LOT,400
VILLENNES-SUR-SEINE,200
VILLENOY,350
VILLERS-COTTERETS,66.670000000000002
VILLETANEUSE,100
VILLEURBANNE,137.93000000000001
VILLIERS-LE-BEL,100
VILLIERS-SUR-MARNE,26.670000000000002
VINEUIL ST FIRMIN,100
VITRE,300
VITRY-SUR-SEINE,42.859999999999999
VOIRON,180
VOREPPE,400
WITRY-LES-REIMS,200
YVETOT,100
ZONZA,50
